Marka;Ana Grup;Branş;Kategori;Ürün Grubu;Cinsiyeti Açıklama;Ürün Kodu;Ürün Adı;Renk Kodu;Renk Açıklaması;Beden;Stok;Barkod;Lot barkodu;;2. lot barkodu;;tsf;tspsf
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SWEATSHIRTS;ERKEK;HI2128;ENT22 TR TOP;21.094;TMYELL/BLACK;L;39;4065425167888;L0000000081203;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082857;S/1 , M/2 , L/2 , XL/1;1.362,73;1.499,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;SWEATSHIRTS;ERKEK;HI2128;ENT22 TR TOP;21.094;TMYELL/BLACK;S;16;4065425167895;L0000000081203;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082857;S/1 , M/2 , L/2 , XL/1;1.362,73;1.499,00
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;C3080LS2416;C.3080 LADY 2416 BEIGE VERDE ROSA;21.188;BEJ;37;0;8445954234354;L0000000080617;Kadın 5'li (39-41) 39 × 2  40 × 2  41 × 1;;;1.605,94;2.569,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;C3080LS2416;C.3080 LADY 2416 BEIGE VERDE ROSA;21.188;BEJ;39;4;8445954234385;L0000000080617;Kadın 5'li (39-41) 39 × 2  40 × 2  41 × 1;;;1.605,94;2.569,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;C3080LS2416;C.3080 LADY 2416 BEIGE VERDE ROSA;21.188;BEJ;41;4;8445954234415;L0000000080617;Kadın 5'li (39-41) 39 × 2  40 × 2  41 × 1;;;1.605,94;2.569,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;C3080LS2416;C.3080 LADY 2416 BEIGE VERDE ROSA;21.188;BEJ;40;3;8445954234392;L0000000080617;Kadın 5'li (39-41) 39 × 2  40 × 2  41 × 1;;;1.605,94;2.569,50
JOMA;AYAKKABI;GÜNLÜK YAŞAM;GÜNLÜK;SPOR AYAKKABI;KADIN;C3080LS2416;C.3080 LADY 2416 BEIGE VERDE ROSA;21.188;BEJ;38;1;8445954234378;L0000000080617;Kadın 5'li (39-41) 39 × 2  40 × 2  41 × 1;;;1.605,94;2.569,50
JOMA;TEKSTİL;FUTBOL;KAMP;SWEATSHIRTS;ERKEK;103151.336;SUDADERA WINNER III MARINO ROJO;26.293;LACİVERT -  KIRMIZI;2XL;4;8445954511004;L0000000075363;S = 1 M = 3 L = 2 XL = 1 2XL = 1;;;1.622,00;2.594,00
JOMA;TEKSTİL;FUTBOL;KAMP;SWEATSHIRTS;ERKEK;103151.336;SUDADERA WINNER III MARINO ROJO;26.293;LACİVERT -  KIRMIZI;S;11;8445954510960;L0000000075363;S = 1 M = 3 L = 2 XL = 1 2XL = 1;;;1.622,00;2.594,00
JOMA;TEKSTİL;FUTBOL;KAMP;SWEATSHIRTS;ERKEK;103151.336;SUDADERA WINNER III MARINO ROJO;26.293;LACİVERT -  KIRMIZI;M;9;8445954510977;L0000000075363;S = 1 M = 3 L = 2 XL = 1 2XL = 1;;;1.622,00;2.594,00
JOMA;TEKSTİL;FUTBOL;KAMP;SWEATSHIRTS;ERKEK;103151.336;SUDADERA WINNER III MARINO ROJO;26.293;LACİVERT -  KIRMIZI;XL;10;8445954510991;L0000000075363;S = 1 M = 3 L = 2 XL = 1 2XL = 1;;;1.622,00;2.594,00
JOMA;TEKSTİL;FUTBOL;KAMP;SWEATSHIRTS;ERKEK;103151.336;SUDADERA WINNER III MARINO ROJO;26.293;LACİVERT -  KIRMIZI;L;14;8445954510984;L0000000075363;S = 1 M = 3 L = 2 XL = 1 2XL = 1;;;1.622,00;2.594,00
